id	Airline	A_ICAO	Time	InitialDate	FinalDate
216176	ICE	BIKF	785	0	31
216177	ICE	BIKF	760	0	31
216178	ICE	BIKF	770	0	30
216182	ICE	BIKF	780	0	30
216186	WZZ	BIKF	1005	0	31
216191	ICE	BIKF	775	0	31
216193	WZZ	BIKF	380	0	31
216195	ICE	BIKF	790	0	31
216197	ICE	BIKF	765	0	30
216201	ICE	BIKF	775	0	30
216207	ICE	BIKF	740	0	29
216211	ICE	BIKF	770	0	31
216212	ICE	BIKF	770	0	31
216216	ICE	BIKF	760	1	31
216220	ICE	BIKF	760	2	23
216222	EZS	BIKF	1365	2	31
216226	SAS	BIKF	1385	4	31
216227	ICE	BIKF	790	2	31
216228	SAS	BIKF	905	2	31
216230	DLH	BIKF	1160	2	31
216231	ICE	BIKF	720	4	31
216232	ICE	BIKF	770	3	29
216233	ICE	BIKF	780	3	29
216240	ICE	BIKF	965	8	23
216242	ICE	BIKF	895	8	24
216244	ICE	BIKF	990	8	27
216245	ICE	BIKF	975	8	24
216246	ICE	BIKF	970	8	24
216248	TVF	BIKF	385	9	23
216249	ICE	BIKF	995	9	24
216250	ICE	BIKF	985	9	24
216258	ICE	BIKF	970	13	24
216259	ICE	BIKF	900	10	23
216261	ICE	BIKF	1290	11	27
216262	ICE	BIKF	775	11	23
216265	ICE	BIKF	20	12	23
216266	AUA	BIKF	385	12	23
216268	ICE	BIKF	775	13	27
216274	ICE	KIAD	485	0	30
216278	ICE	EDDM	1080	0	31
216280	ICE	EGLL	1020	0	31
216283	WZZ	LHBP	690	0	31
216286	ICE	CYVR	475	0	28
216287	ICE	EDDF	1060	0	30
216291	ICE	CYYZ	505	0	30
216297	ICE	UNKNOWN	975	0	19
216299	ICE	KMCO	495	3	27
216300	ICE	KLDJ	490	0	19
216301	ICE	KEWR	485	2	31
216305	ICE	KBOS	480	6	31
216306	ICE	LFPG	1050	0	31
216308	ICE	KMSP	500	0	29
216309	ICE	KORD	520	0	29
216311	ICE	EGLL	40	1	30
216313	FIN	EFHK	1155	2	30
216314	ICE	EBBR	1035	2	29
216315	EZS	LSGG	1085	2	31
216316	SAS	ENGM	1195	2	31
216319	ICE	LSZH	1080	2	31
216320	SAS	EKCH	670	2	31
216321	EZS	LSZM	1105	2	31
216322	DLH	EDDF	895	2	31
216323	WZZ	UNKNOWN	1230	2	17
216324	WZZ	EPKT	1225	9	31
216328	DLH	EDDM	100	4	29
216331	ICE	KBOS	640	6	24
216334	ICE	ENBR	1070	11	27
216336	ICE	ESSA	1220	8	23
216337	ICE	KJFK	660	8	24
216338	ICE	EIDW	1115	8	24
216339	ICE	LEAL	235	9	20
216341	ICE	CYYZ	670	8	24
216342	ICE	EDDF	1280	8	27
216344	ICE	LFPG	1250	8	24
216345	ICE	EKCH	1230	8	24
216346	ICE	KDEN	685	8	24
216348	ICE	LSZH	1305	9	24
216349	ICE	KORD	705	9	24
216350	ICE	EDDM	1280	9	24
216351	BTI	EVRA	960	9	31
216352	ICE	KMCI	685	9	24
216353	DAL	KMSP	665	9	23
216354	CSA	LKKL	100	10	27
216355	ICE	EBBR	1225	10	23
216356	ICE	UNKNOWN	145	10	21
216357	ICE	EKCH	685	10	23
216359	VLG	LEBL	1370	11	24
216360	ICE	ENGM	1120	10	23
216361	ROU	CYUL	630	11	29
216362	ICE	EDDH	1040	11	23
216363	AAL	KDFW	670	11	31
216364	ICE	CYUL	440	11	26
216365	UAL	KLDJ	650	11	19
216367	ICE	KPDX	730	12	23
216368	ICE	LSGG	1070	13	27
216369	ICE	LFPG	95	14	27
216371	ICE	KSEA	695	18	24
216372	TVF	LFPO	650	24	31
220248	BEL	EBBR	515	0	30
220249	ETH	EBBR	1280	0	31
220251	BEL	EBBR	615	0	31
220252	BEL	EBBR	705	10	31
220254	DLH	EBBR	430	0	31
220257	BCS	EBBR	945	0	31
220259	BEL	EBBR	565	0	31
220260	BEL	EBBR	640	0	31
220262	AZA	EBBR	820	0	31
220267	EIN	EBBR	715	0	31
220270	BEL	EBBR	1195	2	28
220272	BEL	EBBR	625	0	31
220273	BEL	EBBR	690	0	31
220275	BEL	EBBR	655	0	31
220276	BEL	EBBR	700	0	31
220278	KLM	EBBR	945	0	30
220283	BEL	EBBR	680	0	17
220284	AZA	EBBR	1220	0	31
220285	BEL	EBBR	1325	0	31
220286	BCS	EBBR	440	0	31
220287	BAW	EBBR	1065	0	31
220288	FIN	EBBR	855	0	31
220290	DLH	EBBR	615	0	31
220291	DLH	EBBR	735	0	31
220294	SWR	EBBR	1280	0	31
220296	TAP	EBBR	540	0	31
220298	BEL	EBBR	770	0	31
220301	SWR	EBBR	515	0	31
220302	BEL	EBBR	650	0	31
220303	DLH	EBBR	1210	0	31
220304	BEL	EBBR	1065	0	31
220307	SWR	EBBR	685	0	30
220308	BAW	EBBR	490	0	31
220309	BEL	EBBR	675	0	31
220311	SAS	EBBR	715	0	31
220312	BEL	EBBR	1245	0	7
220316	VLG	EBBR	705	0	19
220317	VLG	EBBR	1055	0	30
220322	AZA	EBBR	1030	0	17
220324	BEL	EBBR	460	0	31
220325	DLH	EBBR	835	0	29
220326	BEL	EBBR	670	0	31
220328	DLH	EBBR	990	0	31
220332	AEE	EBBR	915	0	31
220341	BEL	EBBR	490	4	29
220342	BEL	EBBR	1310	0	31
220347	BEL	EBBR	685	0	31
220350	BEL	EBBR	625	0	31
220358	BEL	EBBR	765	8	30
220369	FIN	EBBR	1300	1	31
220380	BEL	EBBR	1345	1	31
220382	BAW	EBBR	755	1	31
220384	BEL	EBBR	455	1	31
220386	LOT	EBBR	745	2	31
220387	AUA	EBBR	1295	2	31
220388	BEL	EBBR	765	2	31
220389	DLH	EBBR	470	2	31
220394	RYR	EBBR	665	2	31
220396	BEL	EBBR	1015	2	30
220398	BEL	EBBR	860	2	27
220408	BEL	EBBR	965	2	30
220412	DLH	EBBR	485	2	31
220415	BEL	EBBR	545	2	27
220416	BEL	EBBR	1015	2	31
220418	BEL	EBBR	1225	2	29
220422	RYR	EBBR	575	2	31
220426	BEL	EBBR	525	4	30
220427	RYR	EBBR	495	2	30
220429	RYR	EBBR	1140	2	31
220430	RYR	EBBR	810	2	27
220432	IBE	EBBR	1255	2	31
220434	RYR	EBBR	590	4	31
220435	LOT	EBBR	575	2	31
220436	RYR	EBBR	695	4	31
220437	DLH	EBBR	605	2	31
220438	SAS	EBBR	785	2	30
220439	AUA	EBBR	720	2	31
220440	RYR	EBBR	1320	2	31
220445	DLH	EBBR	685	2	31
